geneID_A	geneID_B	origins
908	7203	BioPlex|CoFrac|QUBIC
7203	22948	BioPlex|CoFrac|QUBIC
7203	79031	BioPlex|CoFrac|QUBIC
7203	7278	BioPlex|QUBIC
6134	6222	CoFrac|QUBIC
6134	6223	CoFrac|QUBIC
3921	6227	Lit-BM-13|BioPlex
6134	6224	CoFrac|QUBIC
6134	6228	CoFrac|QUBIC
908	10694	CoFrac|QUBIC
10694	22948	CoFrac|QUBIC
10694	79031	CoFrac|QUBIC
829	830	BioPlex|QUBIC
830	11258	BioPlex|QUBIC
830	1639	BioPlex|QUBIC
830	10097	CoFrac|QUBIC
5393	23404	CoFrac|QUBIC
5393	54512	Lit-BM-13|HI-union|CoFrac|QUBIC
5393	118460	CoFrac|QUBIC
1104	5903	BioPlex|QUBIC
1104	5905	BioPlex|QUBIC
4798	51377	Lit-BM-13|BioPlex|HI-union
4791	4792	BioPlex|QUBIC
4792	5966	BioPlex|QUBIC
1639	11258	BioPlex|QUBIC
9491	25793	Lit-BM-13|BioPlex|HI-union|QUBIC
1736	9933	BioPlex|CoFrac
9933	23212	BioPlex|CoFrac
3921	6134	CoFrac|QUBIC
9933	10969	BioPlex|CoFrac
4839	9933	BioPlex|CoFrac
5585	7431	Lit-BM-13|HI-union
5692	51371	Lit-BM-13|BioPlex
5690	51371	Lit-BM-13|BioPlex
5691	51371	Lit-BM-13|BioPlex
5695	51371	Lit-BM-13|BioPlex|CoFrac
5698	51371	Lit-BM-13|BioPlex
23404	54512	Lit-BM-13|CoFrac|QUBIC
23404	118460	CoFrac|QUBIC
10097	22948	CoFrac|QUBIC
5692	8624	BioPlex|QUBIC
8624	56984	BioPlex|HI-union|CoFrac
4175	55388	Lit-BM-13|BioPlex|HI-union|QUBIC
4176	55388	Lit-BM-13|BioPlex
6134	6138	CoFrac|QUBIC
6132	6134	CoFrac|QUBIC
6132	6175	BioPlex|CoFrac
6133	6134	CoFrac|QUBIC
6130	6134	CoFrac|QUBIC
6134	6136	CoFrac|QUBIC
6134	6137	CoFrac|QUBIC
6134	6135	CoFrac|QUBIC
6134	6152	CoFrac|QUBIC
6134	6155	CoFrac|QUBIC
6134	6157	CoFrac|QUBIC
6134	6175	CoFrac|QUBIC
6134	25873	CoFrac|QUBIC
