geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
55299	None	BRX1, biogenesis of ribosomes	None	None	None	None	extended	BRIX1	BRIX|BXDC2
5987	None	tripartite motif containing 27	None	None	None	None	extended	TRIM27	RFP|RNF76
29766	None	tropomodulin 3	None	None	None	None	extended	TMOD3	UTMOD
7188	None	TNF receptor associated factor 5	None	None	None	None	extended	TRAF5	MGC:39780|RNF84
7185	None	TNF receptor associated factor 1	None	None	None	None	extended	TRAF1	EBI6|MGC:10353
7186	None	TNF receptor associated factor 2	None	None	None	None	extended	TRAF2	MGC:45012|TRAP|TRAP3
7187	None	TNF receptor associated factor 3	None	None	None	None	extended	TRAF3	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1
392	None	Rho GTPase activating protein 1	None	None	None	None	extended	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
6217	None	ribosomal protein S16	None	None	None	None	extended	RPS16	S16
6210	None	ribosomal protein S15a	None	None	None	None	extended	RPS15A	S15a
10574	None	chaperonin containing TCP1 subunit 7	None	None	None	None	extended	CCT7	CCTETA|CCTH|NIP7-1|TCP1ETA
10575	h	chaperonin containing TCP1 subunit 4	1.0	NA	12	0	seed	CCT4	CCT-DELTA|Cctd|SRB
10576	None	chaperonin containing TCP1 subunit 2	None	None	None	None	extended	CCT2	99D8.1|CCT-beta|CCTB|HEL-S-100n|PRO1633|TCP-1-beta
